Latitude,Longitude,Total Deaths,Total Damages ('000 US$),Dis Mag Value
0,0,184.0,0.0,0.0
0,0,43.0,0.0,0.0
0,0,50.0,0.0,0.0
-38.143,-73.407,6000.0,550000.0,10.0
0,0,5.0,35000.0,0.0
0,0,0.0,0.0,0.0
0,0,2.0,0.0,0.0
0,0,3000.0,0.0,0.0
0,0,5149.0,0.0,0.0
0,0,10000.0,0.0,0.0
36,4.1,57.0,0.0,6.0
0,0,45.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,15.0,0.0,0.0
0,0,11000.0,11900.0,0.0
0,0,0.0,0.0,0.0
0,0,266.0,0.0,0.0
0,0,275.0,60000.0,0.0
0,0,0.0,0.0,0.0
10.4,39.9,30.0,0.0,7.0
0,0,21.0,0.0,0.0
0,0,43.0,0.0,0.0
0,0,7.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,275.0,0.0,0.0
0,0,400.0,0.0,0.0
40.9,19.5,15.0,0.0,6.0
0,0,33.0,0.0,0.0
5.173,-76.352,47.0,0.0,7.0
0,0,135.0,0.0,0.0
0,0,347.0,600000.0,0.0
0,0,445.0,80000.0,0.0
0,0,6.0,250000.0,0.0
0,0,183.0,0.0,0.0
0,0,26.0,0.0,0.0
0,0,107.0,0.0,0.0
0,0,12.0,0.0,-22.0
0,0,22000.0,50000.0,0.0
0,0,79.0,0.0,0.0
0,0,30.0,0.0,0.0
0,0,0.0,1500.0,0.0
0,0,15.0,0.0,0.0
0,0,1750.0,500000.0,0.0
0,0,0.0,2600.0,0.0
0,0,400.0,60000.0,0.0
0,0,0.0,0.0,0.0
0,0,6.0,0.0,0.0
0,0,5000.0,180000.0,0.0
0,0,0.0,0.0,0.0
0,0,500.0,0.0,0.0
0,0,1584.0,0.0,0.0
0,0,106.0,0.0,0.0
0,0,112.0,0.0,0.0
38.8,-28.4,0.0,0.0,5.0
0,0,300.0,250.0,0.0
0,0,0.0,5000.0,0.0
0,0,100.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,0.0,500.0,0.0
0,0,4.0,0.0,0.0
0,0,686.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,7.0,1000.0,0.0
0,0,0.0,0.0,0.0
0,0,1.0,1100.0,0.0
0,0,14.0,0.0,0.0
0,0,44.0,0.0,0.0
0,0,26.0,0.0,0.0
0,0,100.0,10000.0,0.0
0,0,500.0,0.0,0.0
-2.608,-125.952,71.0,0.0,8.0
0,0,45.0,0.0,0.0
0,0,36000.0,57700.0,0.0
0,0,12047.0,0.0,0.0
0,0,874.0,0.0,0.0
0,0,11.0,0.0,0.0
0,0,0.0,700.0,0.0
0,0,40.0,100.0,0.0
0,0,16.0,7000.0,0.0
0,0,6.0,10000.0,0.0
0,0,0.0,0.0,0.0
0,0,26.0,0.0,0.0
0,0,90.0,0.0,0.0
-32.522,-71.233,400.0,125000.0,7.0
0,0,26.0,0.0,0.0
0,0,600.0,10000.0,0.0
0,0,58.0,0.0,0.0
0,0,0.0,27118.0,0.0
0,0,32.0,0.0,0.0
0,0,0.0,1000.0,0.0
35.7,4.4,2.0,2000.0,6.0
0,0,0.0,4000.0,0.0
0,0,2000.0,0.0,0.0
0,0,2.0,0.0,0.0
39.4,24,38.0,8000.0,6.0
0,0,5.0,0.0,0.0
0,0,7.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,0.0,500.0,0.0
0,0,100.0,0.0,0.0
0,0,8000.0,0.0,0.0
0,0,62.0,30000.0,0.0
0,0,90.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,850.0,22400.0,0.0
0,0,39.0,1000.0,0.0
0,0,5.0,15500.0,0.0
0,0,0.0,0.0,0.0
0,0,0.0,500.0,0.0
0,0,14.0,118.0,0.0
0,0,350.0,27.0,0.0
0,0,373.0,51000.0,0.0
0,0,147.0,9914.0,0.0
0,0,36.0,0.0,0.0
0,0,40.0,0.0,0.0
0,0,0.0,0.0,120.0
-25.494,-70.55,4.0,400.0,8.0
0,0,5.0,18000.0,0.0
0,0,74.0,5000.0,0.0
0,0,57.0,10000.0,0.0
0,0,50.0,0.0,0.0
0,0,140.0,0.0,0.0
0,0,25.0,70000.0,0.0
39.2,22,1.0,4000.0,6.0
37.5,22.1,1.0,14000.0,6.0
0,0,15.0,0.0,0.0
0,0,64.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,65.0,8000.0,0.0
0,0,480.0,20000.0,0.0
0,0,1000.0,0.0,0.0
0,0,88.0,0.0,0.0
0,0,176.0,33000.0,0.0
0,0,18.0,4200.0,0.0
-3.7,119.3,71.0,0.0,6.0
41.386,20.532,11.0,20000.0,7.0
0,0,56.0,3000.0,0.0
0,0,62.0,68500.0,0.0
0,0,600.0,600000.0,0.0
0,0,0.0,0.0,0.0
0,0,50.0,0.0,0.0
0,0,41.0,0.0,0.0
0,0,436.0,0.0,0.0
0,0,785.0,7800.0,0.0
0,0,0.0,5000.0,0.0
0,0,0.0,1000.0,0.0
0,0,35.0,1500.0,0.0
0,0,154.0,0.0,0.0
0,0,0.0,0.0,0.0
2.849,-74.798,61.0,600.0,7.0
0,0,20.0,3000.0,0.0
0,0,36.0,0.0,0.0
0,0,0.0,100.0,0.0
0,0,5.0,20000.0,0.0
